PROPUESTA PERIODO: ENERO-MAYO 2025,,,,,,CONSIDERACIONES ,,HORARIO,,,,,
MODALIDAD ,ASIGNATURAS,CREDITOS ,GRUPO,SALA,DOCENTE,DINAMICA,NOTAS ,LUNES ,MARTES ,MIERCOLES ,JUEVES,VIERNES,SABADO 
OBLIGATORIA ,Modelos de intervención psicosocial ,6 ,A,virtual/campo,LOURDES C.,"Lunes de corrido en campo con algunas sesiones virtuales.
Importante considerar tiempo de traslado y NO cargar asignaturas de horario inmediato ","2 antecedentes:Procesos psicosociales grupales, Procesos psicosociales individuales",8:00-12:00,,,,,
OBLIGATORIA ,Modelos de intervención psicosocial ,6 ,B,virtual/campo,LOURDES C.,"Miércoles de corrido en campo con algunas sesiones virtuales.
Importante considerar tiempo de traslado y NO cargar asignaturas de horario inmediato ","2 antecedentes:Procesos psicosociales grupales, Procesos psicosociales individuales",,,8:00-12:00,,,
OBLIGATORIA ,Modelos de intervención psicosocial ,6 ,C,virtual/campo,MA. JOSE C.,"Miércoles de corrido en campo con algunas sesiones virtuales.
Importante considerar tiempo de traslado y NO cargar asignaturas de horario inmediato ","2 antecedentes:Procesos psicosociales grupales, Procesos psicosociales individuales",*,,14:00-18:00,,,
OBLIGATORIA ,Modelos de intervención psicosocial ,6 ,D,virtual/campo,NANCY E.,"Miércoles de corrido en campo con algunas sesiones virtuales.
Importante considerar tiempo de traslado y NO cargar asignaturas de horario inmediato ","2 antecedentes:Procesos psicosociales grupales, Procesos psicosociales individuales",,,8:00-12:00,,,
OBLIGATORIA ,Evaluación de inteligencia y habilidades cognitivas ,6 ,A,18/online,ALONDRA L.,Lunes presencial y jueves online,1 antecedente: Psicometría,14:00-16:00,,,14:00-16;00,,
OBLIGATORIA ,Evaluación de inteligencia y habilidades cognitivas ,6 ,B,15/online,PAULINA C.,Lunes presencial y jueves online,1 antecedente: Psicometría,12:00-14:00,,,12:00-14:00,,
OBLIGATORIA ,Evaluación de inteligencia y habilidades cognitivas ,6 ,C,3/online,RICARDO E.,Lunes presencial y viernes online,1 antecedente: Psicometría,8:00-10:00,,,,8:00-10:00,
OBLIGATORIA ,Evaluación de inteligencia y habilidades cognitivas ,6 ,D,14/online,CARLOS T.,Miércoles presencial y viernes online,1 antecedente: Psicometría,,,12:00-14:00,,12:00-14:00,
OBLIGATORIA ,Desarrollo y sistematización del trabajo de campo en investigación ,,A,12/online,CHUCHO M. ,Martes presencial y jueves online,1 antecedente: Manejo de diseños y herramientas en investigación,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Desarrollo y sistematización del trabajo de campo en investigación ,,B,9/online,MIRTA F.,Martes presencial y jueves online,1 antecedente: Manejo de diseños y herramientas en investigación,,10:00-12:00,,10:00-12:00,,
